,t,EAG1,EAG3,EAG4,EAG2,Solenoid
130,1.3,-0.05859375,0.0029296875,-0.01171875,-0.03515625,-1.505859375
131,1.31,-0.05859375,-0.0087890625,-0.005859375,-0.0263671875,-1.5087890625
132,1.32,-0.0615234375,0.0,-0.0029296875,-0.017578125,-1.51171875
133,1.33,-0.052734375,0.0,0.005859375,-0.005859375,-1.505859375
134,1.34,-0.029296875,-0.0029296875,0.01171875,-0.01171875,-1.51171875
135,1.35,-0.017578125,-0.017578125,0.0087890625,-0.0205078125,-1.5087890625
136,1.36,-0.005859375,-0.0263671875,0.005859375,-0.005859375,-1.51171875
137,1.37,0.0146484375,-0.0263671875,0.0087890625,0.005859375,-1.51171875
138,1.3800000000000001,0.0087890625,-0.017578125,0.0087890625,0.0087890625,-1.5087890625
139,1.3900000000000001,0.0205078125,-0.0234375,0.0087890625,0.0146484375,-1.5087890625
140,1.4000000000000001,0.0322265625,-0.017578125,0.0,0.01171875,-1.505859375
141,1.41,0.041015625,-0.0087890625,-0.0087890625,0.017578125,-1.505859375
142,1.42,0.03515625,-0.01171875,-0.0087890625,0.017578125,-1.505859375
143,1.43,-0.005859375,-0.0146484375,0.005859375,0.01171875,-1.505859375
144,1.44,-0.0234375,-0.0087890625,0.0029296875,0.0087890625,-1.505859375
145,1.45,-0.046875,-0.0087890625,0.0,-0.0029296875,-1.5087890625
146,1.46,-0.064453125,-0.01171875,-0.0146484375,-0.005859375,-1.5087890625
147,1.47,-0.0732421875,-0.0029296875,-0.01171875,-0.0029296875,-1.5087890625
148,1.48,-0.076171875,0.01171875,-0.0146484375,-0.0029296875,-1.505859375
149,1.49,-0.0849609375,0.0205078125,-0.01171875,0.0087890625,-1.51171875
150,1.5,-0.0703125,0.017578125,-0.0087890625,0.0146484375,-1.5087890625
151,1.51,-0.076171875,0.0205078125,0.0,0.0146484375,-1.51171875
152,1.52,-0.0791015625,0.005859375,0.0029296875,0.0205078125,-1.51171875
153,1.53,-0.0732421875,-0.0029296875,0.005859375,0.03515625,-1.5087890625
154,1.54,-0.0673828125,-0.017578125,-0.0029296875,0.0263671875,-1.505859375
155,1.55,-0.0498046875,-0.0146484375,0.0,0.0146484375,-1.5087890625
156,1.56,-0.03515625,-0.01171875,0.0029296875,0.0146484375,-1.5087890625
157,1.57,-0.017578125,-0.0205078125,0.005859375,0.0087890625,-1.505859375
158,1.58,-0.0087890625,-0.017578125,0.005859375,0.0029296875,-1.5029296875
159,1.59,-0.01171875,-0.01171875,0.0,0.0087890625,-1.5087890625
160,1.6,-0.017578125,-0.005859375,-0.0087890625,0.01171875,-1.505859375
161,1.61,-0.0205078125,0.0029296875,-0.01171875,0.01171875,-1.5087890625
162,1.62,-0.0263671875,0.0029296875,-0.01171875,0.0087890625,-1.51171875
163,1.6300000000000001,-0.0234375,0.0029296875,-0.017578125,0.01171875,-1.5087890625
164,1.6400000000000001,-0.03515625,-0.005859375,-0.0087890625,0.01171875,-1.51171875
165,1.6500000000000001,-0.03515625,-0.0029296875,-0.0263671875,0.0087890625,-1.505859375
166,1.6600000000000001,-0.0380859375,-0.005859375,-0.0146484375,0.01171875,-1.505859375
167,1.67,-0.0263671875,-0.0029296875,-0.0029296875,0.01171875,-1.505859375
168,1.68,-0.0146484375,0.0087890625,-0.0029296875,0.017578125,-1.51171875
169,1.69,0.0,0.005859375,0.0,0.017578125,-1.51171875
170,1.7,0.005859375,0.0029296875,0.0087890625,0.0205078125,-1.5
171,1.71,0.01171875,0.0029296875,0.0,0.0263671875,-1.505859375
172,1.72,0.017578125,0.0029296875,0.0029296875,0.0205078125,-1.5087890625
173,1.73,0.0146484375,-0.0029296875,0.0029296875,0.0322265625,-1.505859375
174,1.74,0.005859375,0.0,0.0,0.03515625,-1.505859375
175,1.75,0.0,0.005859375,0.005859375,0.0322265625,-1.5087890625
176,1.76,0.005859375,0.0087890625,0.0,0.041015625,-1.505859375
177,1.77,0.005859375,0.0029296875,0.005859375,0.0439453125,-1.505859375
178,1.78,0.005859375,-0.0087890625,0.005859375,0.0439453125,-1.5087890625
179,1.79,0.01171875,-0.005859375,0.0029296875,0.03515625,-1.505859375
180,1.8,0.0234375,-0.005859375,0.0,0.03515625,-1.505859375
181,1.81,0.0263671875,-0.005859375,-0.005859375,0.0380859375,-1.5087890625
182,1.82,0.0205078125,-0.005859375,-0.01171875,0.041015625,-1.5087890625
183,1.83,0.01171875,-0.005859375,-0.0029296875,0.0439453125,-1.51171875
184,1.84,0.0146484375,-0.005859375,0.0,0.03515625,-1.5087890625
185,1.85,0.01171875,0.0,-0.0029296875,0.0322265625,-1.5
186,1.86,0.0,0.005859375,-0.005859375,0.0380859375,-1.5
187,1.87,0.0029296875,0.005859375,0.0029296875,0.0322265625,-1.5087890625
188,1.8800000000000001,0.0029296875,0.0,0.0029296875,0.0380859375,-1.51171875
189,1.8900000000000001,0.005859375,0.0029296875,0.0087890625,0.03515625,-1.5087890625
190,1.9000000000000001,0.005859375,0.005859375,0.0146484375,0.0380859375,-1.5087890625
191,1.9100000000000001,0.0087890625,0.005859375,0.0087890625,0.0380859375,-1.5087890625
192,1.92,0.005859375,0.005859375,0.005859375,0.0439453125,-1.505859375
193,1.93,0.005859375,0.0029296875,0.0,0.0439453125,-1.5087890625
194,1.94,0.0029296875,0.005859375,-0.01171875,0.041015625,-1.505859375
195,1.95,0.0087890625,0.0,-0.005859375,0.0439453125,-1.5087890625
196,1.96,0.01171875,-0.005859375,-0.005859375,0.0439453125,-1.5029296875
197,1.97,0.017578125,0.0,-0.0087890625,0.0498046875,-1.505859375
198,1.98,0.0205078125,0.0,-0.005859375,0.046875,-1.5087890625
199,1.99,0.0234375,-0.0029296875,-0.005859375,0.046875,-1.5087890625
200,2.0,0.0205078125,-0.005859375,-0.0029296875,0.0498046875,-1.51171875
201,2.0100000000000002,0.0205078125,-0.005859375,0.0029296875,0.0498046875,-1.5087890625
202,2.02,0.005859375,-0.0146484375,0.01171875,0.046875,-1.5087890625
